tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
709.187578	4	5	4	1	1	Eabs	sigma	1	17399
726.284486	4	5	5	1	1	Eabs	sigma	1	26930
723.516882	4	5	6	1	1	Eabs	sigma	1	32883
705.881944	4	5	7	1	1	Eabs	sigma	1	32648
694.042221	4	5	8	1	1	Eabs	sigma	1	28696
666.604331	4	5	9	1	1	Eabs	sigma	1	23007
631.706296	4	5	10	1	1	Eabs	sigma	1	17222
883.814581	4	6	1	1	1	Eabs	sigma	1	5933
921.325761	4	6	2	1	1	Eabs	sigma	1	15658
898.569106	4	6	3	1	1	Eabs	sigma	1	34500
901.126697	4	6	4	1	1	Eabs	sigma	1	62934
895.558036	4	6	5	1	1	Eabs	sigma	1	96458
897.048466	4	6	6	1	1	Eabs	sigma	1	113981
889.213254	4	6	7	1	1	Eabs	sigma	1	108897
887.035515	4	6	8	1	1	Eabs	sigma	1	89531
874.523344	4	6	9	1	1	Eabs	sigma	1	65611
839.007109	4	6	10	1	1	Eabs	sigma	1	41476
1304.644378	4	7	1	1	1	Eabs	sigma	1	12280
1281.821459	4	7	2	1	1	Eabs	sigma	1	32513
1297.465477	4	7	3	1	1	Eabs	sigma	1	72889
1279.499396	4	7	4	1	1	Eabs	sigma	1	136224
1269.882507	4	7	5	1	1	Eabs	sigma	1	209410
1244.360519	4	7	6	1	1	Eabs	sigma	1	256339
1227.947155	4	7	7	1	1	Eabs	sigma	1	249644
1217.417307	4	7	8	1	1	Eabs	sigma	1	208185
1195.495291	4	7	9	1	1	Eabs	sigma	1	151080
1137.712905	4	7	10	1	1	Eabs	sigma	1	94388
1894.390561	4	8	1	1	1	Eabs	sigma	1	18374
1909.136064	4	8	2	1	1	Eabs	sigma	1	45616
1919.449718	4	8	3	1	1	Eabs	sigma	1	99151
1906.178303	4	8	4	1	1	Eabs	sigma	1	185737
1876.094121	4	8	5	1	1	Eabs	sigma	1	287215
1837.631753	4	8	6	1	1	Eabs	sigma	1	351970
1818.943305	4	8	7	1	1	Eabs	sigma	1	347027
1786.363620	4	8	8	1	1	Eabs	sigma	1	294171
1735.248081	4	8	9	1	1	Eabs	sigma	1	220302
1627.518261	4	8	10	1	1	Eabs	sigma	1	139832
2832.578889	4	9	1	1	1	Eabs	sigma	1	16988
2868.761838	4	9	2	1	1	Eabs	sigma	1	42121
2854.058718	4	9	3	1	1	Eabs	sigma	1	94735
2804.303537	4	9	4	1	1	Eabs	sigma	1	181432
2757.200162	4	9	5	1	1	Eabs	sigma	1	282015
2682.746210	4	9	6	1	1	Eabs	sigma	1	347477
2639.320987	4	9	7	1	1	Eabs	sigma	1	348080
2594.502743	4	9	8	1	1	Eabs	sigma	1	296609
2499.691367	4	9	9	1	1	Eabs	sigma	1	220533
2344.490339	4	9	10	1	1	Eabs	sigma	1	138436
4088.348001	4	10	1	1	1	Eabs	sigma	1	10490
4228.794496	4	10	2	1	1	Eabs	sigma	1	25639
4195.992741	4	10	3	1	1	Eabs	sigma	1	59035
4004.568494	4	10	4	1	1	Eabs	sigma	1	118524
3881.348834	4	10	5	1	1	Eabs	sigma	1	190687
3776.653956	4	10	6	1	1	Eabs	sigma	1	241586
3690.732653	4	10	7	1	1	Eabs	sigma	1	251141
3635.883196	4	10	8	1	1	Eabs	sigma	1	219626
3497.589149	4	10	9	1	1	Eabs	sigma	1	162027
3225.999989	4	10	10	1	1	Eabs	sigma	1	98084
81.646030	5	1	1	1	1	Eabs	sigma	1	7770
85.951989	5	1	2	1	1	Eabs	sigma	1	6935
95.237589	5	1	3	1	1	Eabs	sigma	1	5023
109.903260	5	1	4	1	1	Eabs	sigma	1	3814
110.212279	5	1	5	1	1	Eabs	sigma	1	2907
106.069189	5	1	6	1	1	Eabs	sigma	1	2160
105.842404	5	1	7	1	1	Eabs	sigma	1	1560
101.599000	5	1	8	1	1	Eabs	sigma	1	1212
82.784833	5	1	9	1	1	Eabs	sigma	1	741
NaN	5	1	10	1	1	Eabs	sigma	1	188
235.308136	5	2	1	1	1	Eabs	sigma	1	748
254.042307	5	2	2	1	1	Eabs	sigma	1	1512
218.687606	5	2	3	1	1	Eabs	sigma	1	2713
232.646501	5	2	4	1	1	Eabs	sigma	1	4440
207.424502	5	2	5	1	1	Eabs	sigma	1	5886
228.158290	5	2	6	1	1	Eabs	sigma	1	5285
221.388145	5	2	7	1	1	Eabs	sigma	1	4588
252.361075	5	2	8	1	1	Eabs	sigma	1	3908
221.426603	5	2	9	1	1	Eabs	sigma	1	3139
168.621871	5	2	10	1	1	Eabs	sigma	1	2129
473.402237	5	3	1	1	1	Eabs	sigma	1	651
456.654598	5	3	2	1	1	Eabs	sigma	1	1230
495.213781	5	3	3	1	1	Eabs	sigma	1	2316
497.301850	5	3	4	1	1	Eabs	sigma	1	4326
462.420248	5	3	5	1	1	Eabs	sigma	1	7622
478.199385	5	3	6	1	1	Eabs	sigma	1	8340
425.385542	5	3	7	1	1	Eabs	sigma	1	7802
452.914712	5	3	8	1	1	Eabs	sigma	1	7006
396.231322	5	3	9	1	1	Eabs	sigma	1	6129
329.723565	5	3	10	1	1	Eabs	sigma	1	5425
611.659257	5	4	1	1	1	Eabs	sigma	1	1888
620.718949	5	4	2	1	1	Eabs	sigma	1	3312
649.263159	5	4	3	1	1	Eabs	sigma	1	5523
722.944994	5	4	4	1	1	Eabs	sigma	1	8985
709.121153	5	4	5	1	1	Eabs	sigma	1	13547
720.226425	5	4	6	1	1	Eabs	sigma	1	15642
715.013230	5	4	7	1	1	Eabs	sigma	1	15226
666.999922	5	4	8	1	1	Eabs	sigma	1	13773
630.016377	5	4	9	1	1	Eabs	sigma	1	12070
560.805205	5	4	10	1	1	Eabs	sigma	1	9868
749.981773	5	5	1	1	1	Eabs	sigma	1	4236
870.034947	5	5	2	1	1	Eabs	sigma	1	8138
877.531460	5	5	3	1	1	Eabs	sigma	1	14041
