tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
565.803154	3	3	5	1	1	Eabs	mean	1	3840
562.404008	3	3	6	1	1	Eabs	mean	1	4104
556.015039	3	3	7	1	1	Eabs	mean	1	4079
537.770804	3	3	8	1	1	Eabs	mean	1	3505
513.296855	3	3	9	1	1	Eabs	mean	1	2638
479.396669	3	3	10	1	1	Eabs	mean	1	1615
956.270977	3	4	1	1	1	Eabs	mean	1	408
944.350780	3	4	2	1	1	Eabs	mean	1	1145
911.513218	3	4	3	1	1	Eabs	mean	1	2501
885.900537	3	4	4	1	1	Eabs	mean	1	4650
833.078164	3	4	5	1	1	Eabs	mean	1	7814
817.788748	3	4	6	1	1	Eabs	mean	1	9838
793.142308	3	4	7	1	1	Eabs	mean	1	9917
764.969072	3	4	8	1	1	Eabs	mean	1	9146
729.532501	3	4	9	1	1	Eabs	mean	1	7706
663.060496	3	4	10	1	1	Eabs	mean	1	5751
1309.675367	3	5	1	1	1	Eabs	mean	1	1747
1340.775994	3	5	2	1	1	Eabs	mean	1	4329
1312.832319	3	5	3	1	1	Eabs	mean	1	9406
1268.426245	3	5	4	1	1	Eabs	mean	1	16857
1220.875917	3	5	5	1	1	Eabs	mean	1	25768
1180.348706	3	5	6	1	1	Eabs	mean	1	30755
1148.041746	3	5	7	1	1	Eabs	mean	1	30305
1104.485777	3	5	8	1	1	Eabs	mean	1	26074
1045.637080	3	5	9	1	1	Eabs	mean	1	21443
945.584773	3	5	10	1	1	Eabs	mean	1	15081
1806.700196	3	6	1	1	1	Eabs	mean	1	5469
1825.347330	3	6	2	1	1	Eabs	mean	1	14954
1807.297901	3	6	3	1	1	Eabs	mean	1	33825
1772.541821	3	6	4	1	1	Eabs	mean	1	63036
1728.033407	3	6	5	1	1	Eabs	mean	1	95573
1679.667946	3	6	6	1	1	Eabs	mean	1	113613
1637.245597	3	6	7	1	1	Eabs	mean	1	108654
1581.319269	3	6	8	1	1	Eabs	mean	1	88386
1495.245125	3	6	9	1	1	Eabs	mean	1	63225
1361.558087	3	6	10	1	1	Eabs	mean	1	39772
2459.196267	3	7	1	1	1	Eabs	mean	1	10800
2479.023881	3	7	2	1	1	Eabs	mean	1	29029
2475.525381	3	7	3	1	1	Eabs	mean	1	65554
2422.834166	3	7	4	1	1	Eabs	mean	1	124005
2359.584075	3	7	5	1	1	Eabs	mean	1	192217
2299.554306	3	7	6	1	1	Eabs	mean	1	236934
2244.742439	3	7	7	1	1	Eabs	mean	1	231741
2173.660410	3	7	8	1	1	Eabs	mean	1	192910
2074.315026	3	7	9	1	1	Eabs	mean	1	141041
1922.243677	3	7	10	1	1	Eabs	mean	1	87140
3314.184273	3	8	1	1	1	Eabs	mean	1	15320
3401.970080	3	8	2	1	1	Eabs	mean	1	38655
3424.788522	3	8	3	1	1	Eabs	mean	1	84706
3376.519826	3	8	4	1	1	Eabs	mean	1	159459
3292.589242	3	8	5	1	1	Eabs	mean	1	247703
3208.936188	3	8	6	1	1	Eabs	mean	1	304222
3118.702637	3	8	7	1	1	Eabs	mean	1	299588
3027.198968	3	8	8	1	1	Eabs	mean	1	254987
2892.541237	3	8	9	1	1	Eabs	mean	1	190133
2684.717796	3	8	10	1	1	Eabs	mean	1	120411
4357.374401	3	9	1	1	1	Eabs	mean	1	13163
4593.719626	3	9	2	1	1	Eabs	mean	1	33281
4660.182293	3	9	3	1	1	Eabs	mean	1	75589
4623.934176	3	9	4	1	1	Eabs	mean	1	145958
4515.889216	3	9	5	1	1	Eabs	mean	1	227716
4386.152589	3	9	6	1	1	Eabs	mean	1	280547
4250.878834	3	9	7	1	1	Eabs	mean	1	279652
4120.494004	3	9	8	1	1	Eabs	mean	1	238653
3963.080351	3	9	9	1	1	Eabs	mean	1	177225
3712.698675	3	9	10	1	1	Eabs	mean	1	111843
5570.937975	3	10	1	1	1	Eabs	mean	1	7092
6110.497339	3	10	2	1	1	Eabs	mean	1	18255
6349.648635	3	10	3	1	1	Eabs	mean	1	43571
6272.862374	3	10	4	1	1	Eabs	mean	1	89122
6024.179627	3	10	5	1	1	Eabs	mean	1	142668
5806.591487	3	10	6	1	1	Eabs	mean	1	181106
5569.328727	3	10	7	1	1	Eabs	mean	1	186207
5394.423589	3	10	8	1	1	Eabs	mean	1	161179
5260.430056	3	10	9	1	1	Eabs	mean	1	117582
4987.443387	3	10	10	1	1	Eabs	mean	1	70754
383.120048	4	1	1	1	1	Eabs	mean	1	201
383.516212	4	1	2	1	1	Eabs	mean	1	318
379.564231	4	1	3	1	1	Eabs	mean	1	413
382.882427	4	1	4	1	1	Eabs	mean	1	497
375.594417	4	1	5	1	1	Eabs	mean	1	460
381.291590	4	1	6	1	1	Eabs	mean	1	372
373.600168	4	1	7	1	1	Eabs	mean	1	240
NaN	4	1	8	1	1	Eabs	mean	1	159
NaN	4	1	9	1	1	Eabs	mean	1	64
NaN	4	1	10	1	1	Eabs	mean	1	13
573.743890	4	2	1	1	1	Eabs	mean	1	558
557.924794	4	2	2	1	1	Eabs	mean	1	985
551.657986	4	2	3	1	1	Eabs	mean	1	1670
541.073398	4	2	4	1	1	Eabs	mean	1	2289
534.284654	4	2	5	1	1	Eabs	mean	1	2644
526.298801	4	2	6	1	1	Eabs	mean	1	2521
510.162705	4	2	7	1	1	Eabs	mean	1	2054
494.781297	4	2	8	1	1	Eabs	mean	1	1623
458.085235	4	2	9	1	1	Eabs	mean	1	1099
431.491431	4	2	10	1	1	Eabs	mean	1	618
846.901707	4	3	1	1	1	Eabs	mean	1	340
848.882844	4	3	2	1	1	Eabs	mean	1	913
817.998836	4	3	3	1	1	Eabs	mean	1	1772
774.203693	4	3	4	1	1	Eabs	mean	1	3534
738.090219	4	3	5	1	1	Eabs	mean	1	5536
727.206243	4	3	6	1	1	Eabs	mean	1	6049
721.545115	4	3	7	1	1	Eabs	mean	1	5929
690.811661	4	3	8	1	1	Eabs	mean	1	5369
661.293676	4	3	9	1	1	Eabs	mean	1	4579
616.291606	4	3	10	1	1	Eabs	mean	1	3065
1306.761117	4	4	1	1	1	Eabs	mean	1	709
1266.538775	4	4	2	1	1	Eabs	mean	1	1515
1255.178880	4	4	3	1	1	Eabs	mean	1	3240
1200.939105	4	4	4	1	1	Eabs	mean	1	6044
1112.815598	4	4	5	1	1	Eabs	mean	1	9920
1086.953366	4	4	6	1	1	Eabs	mean	1	12286
1063.132227	4	4	7	1	1	Eabs	mean	1	12492
1034.255069	4	4	8	1	1	Eabs	mean	1	11416
982.866069	4	4	9	1	1	Eabs	mean	1	9833
881.772085	4	4	10	1	1	Eabs	mean	1	7754
1790.633023	4	5	1	1	1	Eabs	mean	1	2025
1816.530706	4	5	2	1	1	Eabs	mean	1	4836
1796.896815	4	5	3	1	1	Eabs	mean	1	9733
1724.174008	4	5	4	1	1	Eabs	mean	1	17399
1653.705928	4	5	5	1	1	Eabs	mean	1	26930
1602.477355	4	5	6	1	1	Eabs	mean	1	32883
1557.498025	4	5	7	1	1	Eabs	mean	1	32648
1500.488079	4	5	8	1	1	Eabs	mean	1	28696
1426.411346	4	5	9	1	1	Eabs	mean	1	23007
1302.591881	4	5	10	1	1	Eabs	mean	1	17222
2501.941475	4	6	1	1	1	Eabs	mean	1	5933
2535.439664	4	6	2	1	1	Eabs	mean	1	15658
2507.707072	4	6	3	1	1	Eabs	mean	1	34500
2451.979956	4	6	4	1	1	Eabs	mean	1	62934
2370.871392	4	6	5	1	1	Eabs	mean	1	96458
2307.644772	4	6	6	1	1	Eabs	mean	1	113981
2247.241898	4	6	7	1	1	Eabs	mean	1	108897
2171.824791	4	6	8	1	1	Eabs	mean	1	89531
2059.611454	4	6	9	1	1	Eabs	mean	1	65611
1882.310884	4	6	10	1	1	Eabs	mean	1	41476
3428.240097	4	7	1	1	1	Eabs	mean	1	12280
3460.908637	4	7	2	1	1	Eabs	mean	1	32513
3438.469908	4	7	3	1	1	Eabs	mean	1	72889
3357.102534	4	7	4	1	1	Eabs	mean	1	136224
3274.127401	4	7	5	1	1	Eabs	mean	1	209410
3189.896235	4	7	6	1	1	Eabs	mean	1	256339
3110.852580	4	7	7	1	1	Eabs	mean	1	249644
3018.433258	4	7	8	1	1	Eabs	mean	1	208185
2880.723991	4	7	9	1	1	Eabs	mean	1	151080
2663.199285	4	7	10	1	1	Eabs	mean	1	94388
4571.527204	4	8	1	1	1	Eabs	mean	1	18374
4704.221104	4	8	2	1	1	Eabs	mean	1	45616
4735.128688	4	8	3	1	1	Eabs	mean	1	99151
4655.628359	4	8	4	1	1	Eabs	mean	1	185737
4542.051374	4	8	5	1	1	Eabs	mean	1	287215
4425.031199	4	8	6	1	1	Eabs	mean	1	351970
4314.763321	4	8	7	1	1	Eabs	mean	1	347027
