tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
22.969244	2	8	1	1	1	tMatch	sigma	1	11491
25.903000	2	8	2	1	1	tMatch	sigma	1	29739
30.446429	2	8	3	1	1	tMatch	sigma	1	66405
36.280259	2	8	4	1	1	tMatch	sigma	1	125444
44.902898	2	8	5	1	1	tMatch	sigma	1	194424
56.839973	2	8	6	1	1	tMatch	sigma	1	240446
72.993458	2	8	7	1	1	tMatch	sigma	1	239234
92.233899	2	8	8	1	1	tMatch	sigma	1	203546
114.155444	2	8	9	1	1	tMatch	sigma	1	155583
140.035472	2	8	10	1	1	tMatch	sigma	1	100375
34.311268	2	9	1	1	1	tMatch	sigma	1	9297
38.266768	2	9	2	1	1	tMatch	sigma	1	23151
44.174987	2	9	3	1	1	tMatch	sigma	1	53311
52.959877	2	9	4	1	1	tMatch	sigma	1	103282
65.846792	2	9	5	1	1	tMatch	sigma	1	162342
83.805026	2	9	6	1	1	tMatch	sigma	1	200512
107.096167	2	9	7	1	1	tMatch	sigma	1	200374
134.482366	2	9	8	1	1	tMatch	sigma	1	171997
165.863105	2	9	9	1	1	tMatch	sigma	1	130447
201.971991	2	9	10	1	1	tMatch	sigma	1	83517
51.672541	2	10	1	1	1	tMatch	sigma	1	4403
56.004290	2	10	2	1	1	tMatch	sigma	1	11506
63.548922	2	10	3	1	1	tMatch	sigma	1	28085
77.159317	2	10	4	1	1	tMatch	sigma	1	57637
96.397735	2	10	5	1	1	tMatch	sigma	1	93069
122.770447	2	10	6	1	1	tMatch	sigma	1	117149
155.799479	2	10	7	1	1	tMatch	sigma	1	120151
194.430296	2	10	8	1	1	tMatch	sigma	1	102064
237.491196	2	10	9	1	1	tMatch	sigma	1	74959
284.659621	2	10	10	1	1	tMatch	sigma	1	46273
NaN	3	1	1	1	1	tMatch	sigma	1	30
NaN	3	1	2	1	1	tMatch	sigma	1	64
NaN	3	1	3	1	1	tMatch	sigma	1	86
NaN	3	1	4	1	1	tMatch	sigma	1	102
NaN	3	1	5	1	1	tMatch	sigma	1	78
NaN	3	1	6	1	1	tMatch	sigma	1	63
NaN	3	1	7	1	1	tMatch	sigma	1	58
NaN	3	1	8	1	1	tMatch	sigma	1	22
NaN	3	1	9	1	1	tMatch	sigma	1	2
NaN	3	1	10	1	1	tMatch	sigma	1	0
3.455132	3	2	1	1	1	tMatch	sigma	1	255
4.441137	3	2	2	1	1	tMatch	sigma	1	419
5.181931	3	2	3	1	1	tMatch	sigma	1	707
6.399597	3	2	4	1	1	tMatch	sigma	1	921
8.108278	3	2	5	1	1	tMatch	sigma	1	1108
10.314583	3	2	6	1	1	tMatch	sigma	1	1044
13.080679	3	2	7	1	1	tMatch	sigma	1	822
16.213325	3	2	8	1	1	tMatch	sigma	1	639
19.983354	3	2	9	1	1	tMatch	sigma	1	361
NaN	3	2	10	1	1	tMatch	sigma	1	128
4.412025	3	3	1	1	1	tMatch	sigma	1	400
5.617124	3	3	2	1	1	tMatch	sigma	1	860
6.808397	3	3	3	1	1	tMatch	sigma	1	1576
8.179720	3	3	4	1	1	tMatch	sigma	1	2661
10.379420	3	3	5	1	1	tMatch	sigma	1	3840
13.561907	3	3	6	1	1	tMatch	sigma	1	4104
17.346009	3	3	7	1	1	tMatch	sigma	1	4079
21.757107	3	3	8	1	1	tMatch	sigma	1	3505
26.449278	3	3	9	1	1	tMatch	sigma	1	2638
32.463772	3	3	10	1	1	tMatch	sigma	1	1615
7.181447	3	4	1	1	1	tMatch	sigma	1	408
7.836450	3	4	2	1	1	tMatch	sigma	1	1145
9.221995	3	4	3	1	1	tMatch	sigma	1	2501
11.105300	3	4	4	1	1	tMatch	sigma	1	4650
13.697747	3	4	5	1	1	tMatch	sigma	1	7814
17.773225	3	4	6	1	1	tMatch	sigma	1	9838
22.915478	3	4	7	1	1	tMatch	sigma	1	9917
29.007825	3	4	8	1	1	tMatch	sigma	1	9146
36.131266	3	4	9	1	1	tMatch	sigma	1	7706
44.191658	3	4	10	1	1	tMatch	sigma	1	5751
9.975159	3	5	1	1	1	tMatch	sigma	1	1747
11.330201	3	5	2	1	1	tMatch	sigma	1	4329
13.523535	3	5	3	1	1	tMatch	sigma	1	9406
16.346487	3	5	4	1	1	tMatch	sigma	1	16857
20.164167	3	5	5	1	1	tMatch	sigma	1	25768
25.597450	3	5	6	1	1	tMatch	sigma	1	30755
32.938977	3	5	7	1	1	tMatch	sigma	1	30305
41.438090	3	5	8	1	1	tMatch	sigma	1	26074
51.011595	3	5	9	1	1	tMatch	sigma	1	21443
62.820128	3	5	10	1	1	tMatch	sigma	1	15081
14.284341	3	6	1	1	1	tMatch	sigma	1	5469
16.413695	3	6	2	1	1	tMatch	sigma	1	14954
19.501662	3	6	3	1	1	tMatch	sigma	1	33825
23.645313	3	6	4	1	1	tMatch	sigma	1	63036
29.378630	3	6	5	1	1	tMatch	sigma	1	95573
37.516610	3	6	6	1	1	tMatch	sigma	1	113613
48.215393	3	6	7	1	1	tMatch	sigma	1	108654
61.022956	3	6	8	1	1	tMatch	sigma	1	88386
75.521260	3	6	9	1	1	tMatch	sigma	1	63225
92.228718	3	6	10	1	1	tMatch	sigma	1	39772
21.023751	3	7	1	1	1	tMatch	sigma	1	10800
24.362594	3	7	2	1	1	tMatch	sigma	1	29029
28.665708	3	7	3	1	1	tMatch	sigma	1	65554
34.432431	3	7	4	1	1	tMatch	sigma	1	124005
42.677244	3	7	5	1	1	tMatch	sigma	1	192217
54.048438	3	7	6	1	1	tMatch	sigma	1	236934
69.612110	3	7	7	1	1	tMatch	sigma	1	231741
88.450389	3	7	8	1	1	tMatch	sigma	1	192910
110.066522	3	7	9	1	1	tMatch	sigma	1	141041
135.324298	3	7	10	1	1	tMatch	sigma	1	87140
32.304824	3	8	1	1	1	tMatch	sigma	1	15320
36.760168	3	8	2	1	1	tMatch	sigma	1	38655
42.513605	3	8	3	1	1	tMatch	sigma	1	84706
51.033047	3	8	4	1	1	tMatch	sigma	1	159459
62.952115	3	8	5	1	1	tMatch	sigma	1	247703
79.744502	3	8	6	1	1	tMatch	sigma	1	304222
102.440358	3	8	7	1	1	tMatch	sigma	1	299588
129.393649	3	8	8	1	1	tMatch	sigma	1	254987
160.505417	3	8	9	1	1	tMatch	sigma	1	190133
197.229826	3	8	10	1	1	tMatch	sigma	1	120411
48.062213	3	9	1	1	1	tMatch	sigma	1	13163
