tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity
0.000712	3	6	6	1	1	tMatch	sigma	5
0.000937	3	6	7	1	1	tMatch	sigma	5
0.001163	3	6	8	1	1	tMatch	sigma	5
0.001377	3	6	9	1	1	tMatch	sigma	5
0.001596	3	6	10	1	1	tMatch	sigma	5
0.000334	3	7	1	1	1	tMatch	sigma	5
0.000369	3	7	2	1	1	tMatch	sigma	5
0.000274	3	7	3	1	1	tMatch	sigma	5
0.000413	3	7	4	1	1	tMatch	sigma	5
0.000728	3	7	5	1	1	tMatch	sigma	5
0.001071	3	7	6	1	1	tMatch	sigma	5
0.001421	3	7	7	1	1	tMatch	sigma	5
0.001757	3	7	8	1	1	tMatch	sigma	5
0.002059	3	7	9	1	1	tMatch	sigma	5
0.002355	3	7	10	1	1	tMatch	sigma	5
NaN	3	8	1	1	1	tMatch	sigma	5
0.000504	3	8	2	1	1	tMatch	sigma	5
0.000343	3	8	3	1	1	tMatch	sigma	5
0.000602	3	8	4	1	1	tMatch	sigma	5
0.001077	3	8	5	1	1	tMatch	sigma	5
0.001599	3	8	6	1	1	tMatch	sigma	5
0.002134	3	8	7	1	1	tMatch	sigma	5
0.002615	3	8	8	1	1	tMatch	sigma	5
0.003039	3	8	9	1	1	tMatch	sigma	5
0.003440	3	8	10	1	1	tMatch	sigma	5
NaN	3	9	1	1	1	tMatch	sigma	5
NaN	3	9	2	1	1	tMatch	sigma	5
0.000430	3	9	3	1	1	tMatch	sigma	5
0.000867	3	9	4	1	1	tMatch	sigma	5
0.001561	3	9	5	1	1	tMatch	sigma	5
0.002373	3	9	6	1	1	tMatch	sigma	5
0.003132	3	9	7	1	1	tMatch	sigma	5
0.003817	3	9	8	1	1	tMatch	sigma	5
0.004396	3	9	9	1	1	tMatch	sigma	5
0.004931	3	9	10	1	1	tMatch	sigma	5
NaN	3	10	1	1	1	tMatch	sigma	5
NaN	3	10	2	1	1	tMatch	sigma	5
0.000566	3	10	3	1	1	tMatch	sigma	5
0.001235	3	10	4	1	1	tMatch	sigma	5
0.002301	3	10	5	1	1	tMatch	sigma	5
0.003477	3	10	6	1	1	tMatch	sigma	5
0.004559	3	10	7	1	1	tMatch	sigma	5
0.005375	3	10	8	1	1	tMatch	sigma	5
0.006221	3	10	9	1	1	tMatch	sigma	5
0.006926	3	10	10	1	1	tMatch	sigma	5
0.000051	4	1	1	1	1	tMatch	sigma	5
0.000062	4	1	2	1	1	tMatch	sigma	5
0.000069	4	1	3	1	1	tMatch	sigma	5
